PlanetName,Xpos,Ypos,Zpos,Xvel,Yvel,Zvel,Radius,Mass
Earth,0.00E+00,0,0.00E+00,0,0,0,6371000,5.97E+24
Sat,2231405.238,-6.50E+05,-1.70E+05,-933.974765,-7609.940683,498.5964516,5,1.50E+01
